,US_GDP,US_Unemployment,US_CPI,Fed_Rate,US_10Y,Credit_Spread,Dollar_Index,Oil_Price,Industrial_Prod,SP500,VIX,SP500_Return,SP500_Volatility,Crisis
2016-10-31,19089.379,4.9,241.741,0.4,1.46,2.86,111.6509,49.02,98.7611,2102.95,14.77,0.0,0.005942189196776626,0
2016-11-30,19089.379,4.9,241.741,0.4,1.46,2.86,111.6509,49.02,98.7611,2102.95,14.77,0.0,0.005942189196776626,0
2016-12-31,19089.379,4.9,241.741,0.4,1.46,2.86,111.6509,49.02,98.7611,2102.95,14.77,0.0,0.005942189196776626,0
2017-01-31,19280.084,4.7,243.618,0.65,1.46,2.86,111.6509,49.02,98.7611,2102.95,14.77,0.0,0.0,0
2017-02-28,19280.084,4.7,243.618,0.65,1.46,2.86,111.6509,49.02,98.7611,2102.95,14.77,0.0,0.0,0
2017-03-31,19280.084,4.7,243.618,0.65,1.46,2.86,111.6509,49.02,98.7611,2102.95,14.77,0.0,0.0,0
2017-04-30,19438.643,4.4,244.193,0.9,1.46,2.86,111.6509,49.02,100.0224,2102.95,14.77,0.0,0.0,0
2017-05-31,19438.643,4.4,244.193,0.9,1.46,2.86,111.6509,49.02,100.0224,2102.95,14.77,0.0,0.0,0
2017-06-30,19438.643,4.4,244.193,0.9,1.46,2.86,111.6509,49.02,100.0224,2102.95,14.77,0.0,0.0,0
2017-07-31,19692.595,4.3,244.243,1.15,1.46,2.86,111.6509,49.02,100.1068,2102.95,14.77,0.0,0.0,0
2017-08-31,19692.595,4.3,244.243,1.15,1.46,2.86,111.6509,49.02,100.1068,2102.95,14.77,0.0,0.0,0
2017-09-30,19692.595,4.3,244.243,1.15,1.46,2.86,111.6509,49.02,100.1068,2102.95,14.77,0.0,0.0,0
2017-10-31,20037.088,4.2,246.626,1.15,1.46,2.86,111.6509,49.02,101.0247,2102.95,14.77,0.0,0.0,0
2017-11-30,20037.088,4.2,246.626,1.15,1.46,2.86,111.6509,49.02,101.0247,2102.95,14.77,0.0,0.0,0
2017-12-31,20037.088,4.2,246.626,1.15,1.46,2.86,111.6509,49.02,101.0247,2102.95,14.77,0.0,0.0,0
2018-01-31,20328.553,4.0,248.859,1.41,1.46,2.86,111.6509,49.02,101.4625,2102.95,14.77,0.0,0.0,0
